name,a_symbol,a_market,h_symbol,expected_a_csv,expected_h_csv
中石化油服,600871,SSE,1033,"SSE_DLY_600871, 1D.csv","HKEX_DLY_1033, 1D.csv"
南京熊貓電子股份,600775,SSE,553,"SSE_DLY_600775, 1D.csv","HKEX_DLY_553, 1D.csv"
大唐發電,601991,SSE,991,"SSE_DLY_601991, 1D.csv","HKEX_DLY_991, 1D.csv"
凱盛新能源,600876,SSE,1108,"SSE_DLY_600876, 1D.csv","HKEX_DLY_1108, 1D.csv"
上海石油化工股份,600688,SSE,338,"SSE_DLY_600688, 1D.csv","HKEX_DLY_338, 1D.csv"
京城機電股份,600860,SSE,187,"SSE_DLY_600860, 1D.csv","HKEX_DLY_187, 1D.csv"
中遠海發,601866,SSE,2866,"SSE_DLY_601866, 1D.csv","HKEX_DLY_2866, 1D.csv"
中鋁國際工程,601068,SSE,2068,"SSE_DLY_601068, 1D.csv","HKEX_DLY_2068, 1D.csv"
廣汽集團,601238,SSE,2238,"SSE_DLY_601238, 1D.csv","HKEX_DLY_2238, 1D.csv"
金隅集團,601992,SSE,2009,"SSE_DLY_601992, 1D.csv","HKEX_DLY_2009, 1D.csv"
中州證券,601375,SSE,1375,"SSE_DLY_601375, 1D.csv","HKEX_DLY_1375, 1D.csv"
中信建投証券,601066,SSE,6066,"SSE_DLY_601066, 1D.csv","HKEX_DLY_6066, 1D.csv"
北京北辰實業股份,601588,SSE,588,"SSE_DLY_601588, 1D.csv","HKEX_DLY_588, 1D.csv"
長飛光纖光纜,601869,SSE,6869,"SSE_DLY_601869, 1D.csv","HKEX_DLY_6869, 1D.csv"
中船防務,600685,SSE,317,"SSE_DLY_600685, 1D.csv","HKEX_DLY_317, 1D.csv"
上海電氣,601727,SSE,2727,"SSE_DLY_601727, 1D.csv","HKEX_DLY_2727, 1D.csv"
光大證券,601788,SSE,6178,"SSE_DLY_601788, 1D.csv","HKEX_DLY_6178, 1D.csv"
紅星美凱龍,601828,SSE,1528,"SSE_DLY_601828, 1D.csv","HKEX_DLY_1528, 1D.csv"
遼港股份,601880,SSE,2880,"SSE_DLY_601880, 1D.csv","HKEX_DLY_2880, 1D.csv"
大眾公用,600635,SSE,1635,"SSE_DLY_600635, 1D.csv","HKEX_DLY_1635, 1D.csv"
中國中冶,601618,SSE,1618,"SSE_DLY_601618, 1D.csv","HKEX_DLY_1618, 1D.csv"
中芯國際,688981,SSE,981,"SSE_DLY_688981, 1D.csv","HKEX_DLY_981, 1D.csv"
中海油田服務,601808,SSE,2883,"SSE_DLY_601808, 1D.csv","HKEX_DLY_2883, 1D.csv"
福萊特玻璃,601865,SSE,6865,"SSE_DLY_601865, 1D.csv","HKEX_DLY_6865, 1D.csv"
東方證券,600958,SSE,3958,"SSE_DLY_600958, 1D.csv","HKEX_DLY_3958, 1D.csv"
中國銀河,601881,SSE,6881,"SSE_DLY_601881, 1D.csv","HKEX_DLY_6881, 1D.csv"
長城汽車,601633,SSE,2333,"SSE_DLY_601633, 1D.csv","HKEX_DLY_2333, 1D.csv"
第一拖拉機股份,601038,SSE,38,"SSE_DLY_601038, 1D.csv","HKEX_DLY_38, 1D.csv"
時代電氣,688187,SSE,3898,"SSE_DLY_688187, 1D.csv","HKEX_DLY_3898, 1D.csv"
馬鞍山鋼鐵股份,600808,SSE,323,"SSE_DLY_600808, 1D.csv","HKEX_DLY_323, 1D.csv"
兗礦能源集團,600188,SSE,1171,"SSE_DLY_600188, 1D.csv","HKEX_DLY_1171, 1D.csv"
中國交通建設,601800,SSE,1800,"SSE_DLY_601800, 1D.csv","HKEX_DLY_1800, 1D.csv"
中國南方航空股份,600029,SSE,1055,"SSE_DLY_600029, 1D.csv","HKEX_DLY_1055, 1D.csv"
中國鐵路通信,688009,SSE,3969,"SSE_DLY_688009, 1D.csv","HKEX_DLY_3969, 1D.csv"
天津創業環保股份,600874,SSE,1065,"SSE_DLY_600874, 1D.csv","HKEX_DLY_1065, 1D.csv"
上海復星醫藥,600196,SSE,2196,"SSE_DLY_600196, 1D.csv","HKEX_DLY_2196, 1D.csv"
中國人民保險集團,601319,SSE,1339,"SSE_DLY_601319, 1D.csv","HKEX_DLY_1339, 1D.csv"
廣深鐵路股份,601333,SSE,525,"SSE_DLY_601333, 1D.csv","HKEX_DLY_525, 1D.csv"
白雲山,600332,SSE,874,"SSE_DLY_600332, 1D.csv","HKEX_DLY_874, 1D.csv"
中國國航,601111,SSE,753,"SSE_DLY_601111, 1D.csv","HKEX_DLY_753, 1D.csv"
秦港股份,601326,SSE,3369,"SSE_DLY_601326, 1D.csv","HKEX_DLY_3369, 1D.csv"
中國外運,601598,SSE,598,"SSE_DLY_601598, 1D.csv","HKEX_DLY_598, 1D.csv"
江西銅業股份,600362,SSE,358,"SSE_DLY_600362, 1D.csv","HKEX_DLY_358, 1D.csv"
中國海洋石油,600938,SSE,883,"SSE_DLY_600938, 1D.csv","HKEX_DLY_883, 1D.csv"
綠色動力環保,601330,SSE,1330,"SSE_DLY_601330, 1D.csv","HKEX_DLY_1330, 1D.csv"
上海醫藥,601607,SSE,2607,"SSE_DLY_601607, 1D.csv","HKEX_DLY_2607, 1D.csv"
中國鐵建,601186,SSE,1186,"SSE_DLY_601186, 1D.csv","HKEX_DLY_1186, 1D.csv"
東方電氣,600875,SSE,1072,"SSE_DLY_600875, 1D.csv","HKEX_DLY_1072, 1D.csv"
新華文軒,601811,SSE,811,"SSE_DLY_601811, 1D.csv","HKEX_DLY_811, 1D.csv"
華能國際電力股份,600011,SSE,902,"SSE_DLY_600011, 1D.csv","HKEX_DLY_902, 1D.csv"
山東黃金,600547,SSE,1787,"SSE_DLY_600547, 1D.csv","HKEX_DLY_1787, 1D.csv"
深圳高速公路股份,600548,SSE,548,"SSE_DLY_600548, 1D.csv","HKEX_DLY_548, 1D.csv"
重慶鋼鐵股份,601005,SSE,1053,"SSE_DLY_601005, 1D.csv","HKEX_DLY_1053, 1D.csv"
中國中鐵,601390,SSE,390,"SSE_DLY_601390, 1D.csv","HKEX_DLY_390, 1D.csv"
中國人壽,601628,SSE,2628,"SSE_DLY_601628, 1D.csv","HKEX_DLY_2628, 1D.csv"
青島港國際,601298,SSE,6198,"SSE_DLY_601298, 1D.csv","HKEX_DLY_6198, 1D.csv"
新華人壽保險,601336,SSE,1336,"SSE_DLY_601336, 1D.csv","HKEX_DLY_1336, 1D.csv"
華泰證券,601688,SSE,6886,"SSE_DLY_601688, 1D.csv","HKEX_DLY_6886, 1D.csv"
中煤能源,601898,SSE,1898,"SSE_DLY_601898, 1D.csv","HKEX_DLY_1898, 1D.csv"
江蘇寧滬高速公路,600377,SSE,177,"SSE_DLY_600377, 1D.csv","HKEX_DLY_177, 1D.csv"
華電國際電力股份,600027,SSE,1071,"SSE_DLY_600027, 1D.csv","HKEX_DLY_1071, 1D.csv"
國泰海通,601211,SSE,2611,"SSE_DLY_601211, 1D.csv","HKEX_DLY_2611, 1D.csv"
招商證券,600999,SSE,6099,"SSE_DLY_600999, 1D.csv","HKEX_DLY_6099, 1D.csv"
四川成渝高速公路,601107,SSE,107,"SSE_DLY_601107, 1D.csv","HKEX_DLY_107, 1D.csv"
中遠海能,600026,SSE,1138,"SSE_DLY_600026, 1D.csv","HKEX_DLY_1138, 1D.csv"
中國東方航空股份,600115,SSE,670,"SSE_DLY_600115, 1D.csv","HKEX_DLY_670, 1D.csv"
建設銀行,601939,SSE,939,"SSE_DLY_601939, 1D.csv","HKEX_DLY_939, 1D.csv"
中創智領,601717,SSE,564,"SSE_DLY_601717, 1D.csv","HKEX_DLY_564, 1D.csv"
